schoolsupplier_id,store_page,raw_name,urn,schoolsupplier_id,school_name,supplier_code
51,https://www.monkhouse.com/school/baytree-park-day-nursery-urn-511126/,Baytree Park Day Nursery (URN-511126),511126,51.0,Baytree Park Day Nursery,mon
52,https://www.monkhouse.com/school/beal-vale-primary-school-urn-147368/,Beal Vale Primary School (URN-147368),147368,52.0,Beal Vale Primary School,mon
53,https://www.monkhouse.com/school/beaver-road-primary-school-urn-140314-372147/,Beaver Road Primary School (URN-140314),140314,53.0,Beaver Road Primary School,mon
54,https://www.monkhouse.com/school/beech-house-school-rochdale-urn-105855/,Beech House School (Rochdale) (URN-105855),105855,54.0,Beech House SchoolRochdale),mon
55,https://www.monkhouse.com/school/beechcroft-infant-school-urn-126210/,Beechcroft Infant School (URN-126210),126210,55.0,Beechcroft Infant School,mon
56,https://www.monkhouse.com/school/beechwood-school-urn-118949/,Beechwood School (URN-118949),118949,56.0,Beechwood School,mon
57,https://www.monkhouse.com/school/beever-primary-school-oldham-urn-105627/,Beever Primary School (Oldham) (URN-105627),105627,57.0,Beever Primary SchoolOldham),mon
58,https://www.monkhouse.com/school/belfield-community-primary-urn-105780/,Belfield Community Primary (URN-105780),105780,58.0,Belfield Community Primary,mon
59,https://www.monkhouse.com/school/belmont-school-urn-147577-id-372111/,Belmont School (URN-147577),147577,59.0,Belmont School,mon
60,https://www.monkhouse.com/school/benhall-infant-school-urn-115598/,Benhall Infant School (URN-115598),115598,60.0,Benhall Infant School,mon
61,https://www.monkhouse.com/school/bennett-memorial-diocesan-school-urn-136603/,Bennett Memorial Diocesan School (URN-136603),136603,61.0,Bennett Memorial Diocesan School,mon
62,https://www.monkhouse.com/school/bentley-heath-c-of-e-primary-school-urn-140462/,Bentley Heath C of E Primary School (URN-140462),140462,62.0,Bentley Heath C of E Primary School,mon
63,https://www.monkhouse.com/school/billingshurst-primary-school-urn-135813/,Billingshurst Primary School (URN-135813),135813,63.0,Billingshurst Primary School,mon
64,https://www.monkhouse.com/school/birkdale-high-school-urn-137297/,Birkdale High School (URN-137297),137297,64.0,Birkdale High School,mon
65,https://www.monkhouse.com/school/bishop-perowne-cofe-college-urn-138107/,Bishop Perowne CofE College (URN-138107),138107,65.0,Bishop Perowne CofE College,mon
66,https://www.monkhouse.com/school/bishop-road-primary-school-urn-109116/,Bishop Road Primary School (URN-109116),109116,66.0,Bishop Road Primary School,mon
67,https://www.monkhouse.com/school/bishops-cleeve-primary-academy-urn-137271/,Bishops Cleeve Primary Academy (URN-137271),137271,67.0,Bishops Cleeve Primary Academy,mon
68,https://www.monkhouse.com/school/blackshaw-lane-primary-urn-105652/,Blackshaw Lane Primary (URN-105652),105652,68.0,Blackshaw Lane Primary,mon
69,https://www.monkhouse.com/school/blaise-high-school-urn-147219/,Blaise High School (URN-147219),147219,69.0,Blaise High School,mon
70,https://www.monkhouse.com/school/blaise-primary-school-urn-109118/,Blaise Primary and Nursery School (URN-109118),109118,70.0,Blaise Primary and Nursery School,mon
71,https://www.monkhouse.com/school/blessed-edward-oldcorne-catholic-college-urn-116999/,Blessed Edward Oldcorne Catholic College (URN-116999),116999,71.0,Blessed Edward Oldcorne Catholic College,mon
72,https://www.monkhouse.com/school/blessed-thomas-holford-catholic-college-urn-106376/,Blessed Thomas Holford Catholic College (URN-106376),106376,72.0,Blessed Thomas Holford Catholic College,mon
73,https://www.monkhouse.com/school/blossomfield-infant-school-urn-104039/,Blossomfield Infant School (URN-104039),104039,73.0,Blossomfield Infant School,mon
74,https://www.monkhouse.com/school/bolney-c-e-p-school-urn-126007/,Bolney C.E.P School (URN-126007),126007,74.0,Bolney C.E.P School,mon
75,https://www.monkhouse.com/school/bolnore-village-primary-school-urn-135607/,Bolnore Village Primary School (URN-135607),135607,75.0,Bolnore Village Primary School,mon
76,https://www.monkhouse.com/school/bolshaw-primary-school-urn-106029/,Bolshaw Primary School (URN-106029),106029,76.0,Bolshaw Primary School,mon
77,https://www.monkhouse.com/school/bolton-school-urn-105271/,Bolton School (URN-105271),105271,77.0,Bolton School,mon
78,https://www.monkhouse.com/school/boughton-monchelsea-primary-school-urn-118288/,Boughton Monchelsea Primary School (URN-118288),118288,78.0,Boughton Monchelsea Primary School,mon
79,https://www.monkhouse.com/school/bournside-school-and-sixth-form-centre-urn-136725/,Bournside School and Sixth-Form Centre (URN-136725),136725,79.0,Bournside School and Sixth-Form Centre,mon
80,https://www.monkhouse.com/school/bowbrook-house-school-urn-117034/,Bowbrook House School (URN-117034),117034,80.0,Bowbrook House School,mon
81,https://www.monkhouse.com/school/bowsland-green-primary-urn-130257/,Bowsland Green Primary (URN-130257),130257,81.0,Bowsland Green Primary,mon
82,https://www.monkhouse.com/school/brabyns-preparatory-school-urn-106147-id-371876/,Brabyns Preparatory School (URN-106147),106147,82.0,Brabyns Preparatory School,mon
83,https://www.monkhouse.com/school/bradfield-academy-urn-140701/,Bradfield Academy (URN-140701),140701,83.0,Bradfield Academy,mon
84,https://www.monkhouse.com/school/bradley-stoke-community-school-urn-137753/,Bradley Stoke Community School (URN-137753),137753,84.0,Bradley Stoke Community School,mon
85,https://www.monkhouse.com/school/bradon-forest-school-urn-142316/,Bradon Forest School (URN-142316),142316,85.0,Bradon Forest School,mon
86,https://www.monkhouse.com/school/bradshaw-hall-primary-school-urn-131554/,Bradshaw Hall Primary School (URN-131554),131554,86.0,Bradshaw Hall Primary School,mon
87,https://www.monkhouse.com/school/brambletye-school-urn-126150/,Brambletye School (URN-126150),126150,87.0,Brambletye School,mon
88,https://www.monkhouse.com/school/bredenbury-primary-school-urn-116654-id-372096/,Bredenbury Primary School (URN-116654),116654,88.0,Bredenbury Primary School,mon
89,https://www.monkhouse.com/school/bridge-learning-campus-urn-139049/,Bridge Learning Campus (URN-139049),139049,89.0,Bridge Learning Campus,mon
90,https://www.monkhouse.com/school/bridlewood-primary-school-urn-134134/,Bridlewood Primary School (URN-134134),134134,90.0,Bridlewood Primary School,mon
91,https://www.monkhouse.com/school/brighton-aldridge-community-academy-urn-136164/,Brighton Aldridge Community Academy (URN-136164),136164,91.0,Brighton Aldridge Community Academy,mon
92,https://www.monkhouse.com/school/brimrod-community-primary-school-urn-105764/,Brimrod Community Primary School (URN-105764),105764,92.0,Brimrod Community Primary School,mon
93,https://www.monkhouse.com/school/brimsham-green-school-urn-109319/,Brimsham Green School (URN-109319),109319,93.0,Brimsham Green School,mon
94,https://www.monkhouse.com/school/bristol-brunel-academy-urn-135300/,Bristol Brunel Academy (URN-135300),135300,94.0,Bristol Brunel Academy,mon
95,https://www.monkhouse.com/school/bristol-cathedral-choir-school-urn-135575/,Bristol Cathedral Choir School (URN-135575),135575,95.0,Bristol Cathedral Choir School,mon
96,https://www.monkhouse.com/school/bristol-free-school-urn-136822/,Bristol Free School (URN-136822),136822,96.0,Bristol Free School,mon
97,https://www.monkhouse.com/school/bristol-metropolitan-academy-urn-135959/,Bristol Metropolitan Academy (URN-135959),135959,97.0,Bristol Metropolitan Academy,mon
98,https://www.monkhouse.com/school/broadheath-cofe-primary-urn-147497/,Broadheath CofE Primary (URN-147497),147497,98.0,Broadheath CofE Primary,mon
99,https://www.monkhouse.com/school/broadlands-academy-urn-138985/,Broadlands Academy (URN-138985),138985,99.0,Broadlands Academy,mon
100,https://www.monkhouse.com/school/broadlands-primary-school-urn-116679/,Broadlands Primary School (URN-116679),116679,100.0,Broadlands Primary School,mon
101,https://www.monkhouse.com/school/broadoak-school-urn-138124/,Broadoak School (URN-138124),138124,101.0,Broadoak School,mon
102,https://www.monkhouse.com/school/broadwas-cofe-primary-school-urn-116870/,Broadwas CofE Primary School (URN-116870),116870,102.0,Broadwas CofE Primary School,mon
103,https://www.monkhouse.com/school/broadway-infants-school-urn-109057/,Broadway Infants School (URN-109057),109057,103.0,Broadway Infants School,mon
104,https://www.monkhouse.com/school/broughton-high-school-urn-119759/,Broughton High School (URN-119759),119759,104.0,Broughton High School,mon
105,https://www.monkhouse.com/school/broughton-primary-school-urn-402269/,Broughton Primary School (URN-402269),402269,105.0,Broughton Primary School,mon
106,https://www.monkhouse.com/school/browns-lane-pre-school-urn-2658899/,Browns Lane Pre-School (URN-2658899),2658899,106.0,Browns Lane Pre-School,mon
107,https://www.monkhouse.com/school/burghill-community-academy-urn-139608-id-371882/,Burghill Community Academy (URN-139608),139608,107.0,Burghill Community Academy,mon
108,https://www.monkhouse.com/school/burnage-academy-for-boys-urn-140703/,Burnage Academy For Boys (URN-140703),140703,108.0,Burnage Academy For Boys,mon
109,https://www.monkhouse.com/school/burscough-priory-academy-urn-146282/,Burscough Priory Academy (URN-146282),146282,109.0,Burscough Priory Academy,mon
110,https://www.monkhouse.com/school/bury-c-e-aided-primary-school-urn-126022/,Bury C.E. (Aided) Primary School (URN-126022),126022,110.0,Bury C.E.Aided) Primary School,mon
111,https://www.monkhouse.com/school/bury-church-of-england-high-school-urn-148866/,Bury Church of England High School (URN-148866),148866,111.0,Bury Church of England High School,mon
112,https://www.monkhouse.com/school/bury-grammar-school-for-boys-urn-105373/,Bury Grammar School (URN-105373),105373,112.0,Bury Grammar School,mon
113,https://www.monkhouse.com/school/bury-manor-pre-school-urn-ey476547/,Bury Manor Pre-School (URN-EY476547),EY476547,113.0,Bury Manor Pre-School,mon
114,https://www.monkhouse.com/school/cadbury-heath-primary-school-urn-109019/,Cadbury Heath Primary School (URN-109019),109019,114.0,Cadbury Heath Primary School,mon
115,https://www.monkhouse.com/school/callicroft-primary-school-urn-142342/,Callicroft Primary School (URN-142342),142342,115.0,Callicroft Primary School,mon
116,https://www.monkhouse.com/school/callow-end-cofe-primary-urn-147498/,Callow End CofE Primary (URN-147498),147498,116.0,Callow End CofE Primary,mon
117,https://www.monkhouse.com/school/calton-primary-school-urn-115486/,Calton Primary School (URN-115486),115486,117.0,Calton Primary School,mon
118,https://www.monkhouse.com/school/cansfield-high-school-urn-106521/,Cansfield High School (URN-106521),106521,118.0,Cansfield High School,mon
119,https://www.monkhouse.com/school/capenhurst-c-of-e-primary-school-urn-111271/,Capenhurst C of E Primary School (URN-111271),111271,119.0,Capenhurst C of E Primary School,mon
120,https://www.monkhouse.com/school/cardinal-newman-catholic-school-urn-114611/,Cardinal Newman Catholic School (URN-114611),114611,120.0,Cardinal Newman Catholic School,mon
121,https://www.monkhouse.com/school/castell-alun-high-school-urn-401704/,Castell Alun High School (URN-401704),401704,121.0,Castell Alun High School,mon
122,https://www.monkhouse.com/school/castle-hill-school-urn-115569/,Castle Hill School (URN-115569),115569,122.0,Castle Hill School,mon
123,https://www.monkhouse.com/school/castle-newnham-school-urn-109435/,Castle Newnham School (URN-109435),109435,123.0,Castle Newnham School,mon
124,https://www.monkhouse.com/school/castleton-primary-and-nursery-urn-105765/,Castleton Primary And Nursery (URN-105765),105765,124.0,Castleton Primary And Nursery,mon
125,https://www.monkhouse.com/school/cathedral-primary-school-urn-139828/,Cathedral Primary School (URN-139828),139828,125.0,Cathedral Primary School,mon
126,https://www.monkhouse.com/school/catherine-wayte-primary-school-urn-147250/,Catherine Wayte Primary School (URN-147250),147250,126.0,Catherine Wayte Primary School,mon
127,https://www.monkhouse.com/school/the-cavendish-school-urn-138475/,Cavendish School (URN-138475),138475,127.0,Cavendish School,mon
128,https://www.monkhouse.com/school/cecil-road-primary-and-nursery-school-urn-118258/,Cecil Road Primary and Nursery School (URN-118258),118258,128.0,Cecil Road Primary and Nursery School,mon
129,https://www.monkhouse.com/school/cedar-childrens-academy-urn-142817/,Cedar Childrens Academy (URN-142817),142817,129.0,Cedar Childrens Academy,mon
130,https://www.monkhouse.com/school/chafyn-grove-school-urn-126517-id-372005/,Chafyn Grove School (URN-126517),126517,130.0,Chafyn Grove School,mon
131,https://www.monkhouse.com/school/chailey-school-urn-114594/,Chailey School (URN-114594),114594,131.0,Chailey School,mon
132,https://www.monkhouse.com/school/chanctonbury-pre-school-urn-2727666/,Chanctonbury Pre-School (URN-2727666),2727666,132.0,Chanctonbury Pre-School,mon
133,https://www.monkhouse.com/school/chantlers-primary-school-urn-105291-id-37140/,Chantlers Primary School (URN-105291),105291,133.0,Chantlers Primary School,mon
134,https://www.monkhouse.com/school/chapelfield-primary-school-urn-105313/,Chapelfield Primary School (URN-105313),105313,134.0,Chapelfield Primary School,mon
135,https://www.monkhouse.com/school/charfield-primary-school-urn-139935/,Charfield Primary School (URN-139935),139935,135.0,Charfield Primary School,mon
136,https://www.monkhouse.com/school/charlton-kings-infant-school-urn-136999-id-372030/,Charlton Kings Infant school (URN-136999),136999,136.0,Charlton Kings Infant school,mon
137,https://www.monkhouse.com/school/charlton-kings-junior-school-urn-137266-id-372033/,Charlton Kings Junior School (URN-137266),137266,137.0,Charlton Kings Junior School,mon
138,https://www.monkhouse.com/school/charlton-wood-primary-academy-urn-147069/,Charlton Wood Primary Academy (URN-147069),147069,138.0,Charlton Wood Primary Academy,mon
139,https://www.monkhouse.com/school/chawson-first-school-urn-116672/,Chawson First School (URN-116672),116672,139.0,Chawson First School,mon
140,https://www.monkhouse.com/school/cheadle-catholic-junior-school-urn-106112/,Cheadle Catholic Junior School (URN-106112),106112,140.0,Cheadle Catholic Junior School,mon
141,https://www.monkhouse.com/school/cheadle-heath-primary-school-urn-133326/,Cheadle Heath Primary School (URN-133326),133326,141.0,Cheadle Heath Primary School,mon
142,https://www.monkhouse.com/school/cheadle-hulme-high-school-urn-137843/,Cheadle Hulme High School (URN-137843),137843,142.0,Cheadle Hulme High School,mon
143,https://www.monkhouse.com/school/cheadle-hulme-primary-school-urn-145870/,Cheadle Hulme Primary School (URN-145870),145870,143.0,Cheadle Hulme Primary School,mon
144,https://www.monkhouse.com/school/cheadle-hulme-school-urn-106157/,Cheadle Hulme School (URN-106157),106157,144.0,Cheadle Hulme School,mon
145,https://www.monkhouse.com/school/cheadle-primary-school-urn-106038/,Cheadle Village Primary School (URN-106038),106038,145.0,Cheadle Village Primary School,mon
146,https://www.monkhouse.com/school/chelmsford-county-high-school-for-girls-urn-136412/,Chelmsford County High School for Girls (URN-136412),136412,146.0,Chelmsford County High School for Girls,mon
147,https://www.monkhouse.com/school/chepstow-secondary-school-urn-401862/,Chepstow Secondary School (URN-401862),401862,147.0,Chepstow Secondary School,mon
148,https://www.monkhouse.com/school/cherry-grove-primary-school-urn-111209/,Cherry Grove Primary School (URN-111209),111209,148.0,Cherry Grove Primary School,mon
149,https://www.monkhouse.com/school/cherry-orchard-primary-school-urn-148183/,Cherry Orchard Primary School (URN-148183),148183,149.0,Cherry Orchard Primary School,mon
150,https://www.monkhouse.com/school/chesham-primary-school-urn-105293/,Chesham Primary School (URN-105293),105293,150.0,Chesham Primary School,mon
151,https://www.monkhouse.com/school/chesterfield-high-school-urn-137514/,Chesterfield High School (URN-137514),137514,151.0,Chesterfield High School,mon
152,https://www.monkhouse.com/school/cheswick-green-primary-school-urn-104074/,Cheswick Green Primary School (URN-104074),104074,152.0,Cheswick Green Primary School,mon
153,https://www.monkhouse.com/school/childer-thornton-primary-school-urn-144529/,Childer Thornton Primary School (URN-144529),144529,153.0,Childer Thornton Primary School,mon
154,https://www.monkhouse.com/school/chipping-sodbury-school-urn-148295/,Chipping Sodbury School (URN-148295),148295,154.0,Chipping Sodbury School,mon
155,https://www.monkhouse.com/school/chorlton-high-school-urn-139148/,Chorlton High School (URN-139148),139148,155.0,Chorlton High School,mon
156,https://www.monkhouse.com/school/chosen-hill-school-urn-136623/,Chosen Hill School (URN-136623),136623,156.0,Chosen Hill School,mon
157,https://www.monkhouse.com/school/christ-church-c-of-e-primary-walshaw-urn-144408/,Christ Church C.E Primary School (URN-144408),144408,157.0,Christ Church C.E Primary School,mon
158,https://www.monkhouse.com/school/christ-church-of-england-infant-school-downend-urn-109166/,Christ Church CE VC Infant School (URN-109166),109166,158.0,Christ Church CE VC Infant School,mon
159,https://www.monkhouse.com/school/christ-church-hanham-cofe-primary-school-urn-109163/,Christ Church Hanham CofE Primary School (URN-109163),109163,159.0,Christ Church Hanham CofE Primary School,mon
160,https://www.monkhouse.com/school/christ-church-of-england-primary-school-clifton-urn-138317/,Christ Church Primary School (URN-138317),138317,160.0,Christ Church Primary School,mon
161,https://www.monkhouse.com/school/christ-church-primary-school-urn-138940-id-372036/,Christ Church Primary School (URN-138940),138940,161.0,Christ Church Primary School,mon
162,https://www.monkhouse.com/school/christ-the-king-college-urn-135552/,Christ the King College (URN-135552),135552,162.0,Christ the King College,mon
163,https://www.monkhouse.com/school/christ-s-hospital-urn-126107/,Christ's Hospital (URN-126107),126107,163.0,Christ's Hospital,mon
164,https://www.monkhouse.com/school/christopher-whitehead-language-college-urn-136890/,Christopher Whitehead Language College (URN-136890),136890,164.0,Christopher Whitehead Language College,mon
165,https://www.monkhouse.com/school/chs-south-urn-145873/,CHS South (URN-145873),145873,165.0,CHS South,mon
166,https://www.monkhouse.com/school/churchdown-school-academy-urn-137634/,Churchdown School Academy (URN-137634),137634,166.0,Churchdown School Academy,mon
167,https://www.monkhouse.com/school/claines-c-e-primary-school-urn-116793/,Claines C.E. Primary School (URN-116793),116793,167.0,Claines C.E. Primary School,mon
168,https://www.monkhouse.com/school/clayton-le-woods-church-of-england-primary-school-urn-119468/,Clayton-Le-Woods Church Of England Primary School (URN-119468),119468,168.0,Clayton-Le-Woods Church Of England Primary School,mon
169,https://www.monkhouse.com/school/clearwater-church-of-england-primary-academy-urn-143712/,Clearwater Church of England Primary Academy (URN-143712),143712,169.0,Clearwater Church of England Primary Academy,mon
170,https://www.monkhouse.com/school/cleeve-school-urn-136772/,Cleeve School (URN-136772),136772,170.0,Cleeve School,mon
171,https://www.monkhouse.com/school/clehonger-cofe-primary-school-urn-116795-id-371885/,Clehonger CofE Primary School (URN-116795),116795,171.0,Clehonger CofE Primary School,mon
172,https://www.monkhouse.com/school/clifford-primary-school-urn-116668-id-371888/,Clifford Primary School (URN-116668),116668,172.0,Clifford Primary School,mon
173,https://www.monkhouse.com/school/clubs/,Clubs,,173.0,Clubs,mon
174,https://www.monkhouse.com/school/coalway-junior-school-urn-115550-id-372039/,Coalway Junior School (URN-115550),115550,174.0,Coalway Junior School,mon
175,https://www.monkhouse.com/school/coberley-c-of-e-primary-school-urn-115617/,Coberley C of E Primary School (URN-115617),115617,175.0,Coberley C of E Primary School,mon
176,https://www.monkhouse.com/school/cobham-community-pre-school-urn-ey127119/,Cobham Community Pre-School (URN-EY127119),EY127119,176.0,Cobham Community Pre-School,mon
177,https://www.monkhouse.com/school/cobham-primary-school-urn-118257/,Cobham Primary School (URN-118257),118257,177.0,Cobham Primary School,mon
178,https://www.monkhouse.com/school/collegiate-school-urn-109336/,Collegiate School (URN-109336),109336,178.0,Collegiate School,mon
179,https://www.monkhouse.com/school/compass-point-primary-school-urn-145320/,Compass Point Primary School (URN-145320),145320,179.0,Compass Point Primary School,mon
180,https://www.monkhouse.com/school/coney-hill-community-primary-school-urn-115603/,Coney Hill Community Primary School (URN-115603),115603,180.0,Coney Hill Community Primary School,mon
181,https://www.monkhouse.com/school/connah-s-quay-high-school-urn-401708/,Connah's Quay High School (URN-401708),401708,181.0,Connah's Quay High School,mon
182,https://www.monkhouse.com/school/cootham-pre-school-urn-113448/,Cootham Pre-School (URN-113448),113448,182.0,Cootham Pre-School,mon
183,https://www.monkhouse.com/school/cop-lane-church-of-england-primary-school-urn-119363/,Cop Lane Church Of England Primary School (URN-119363),119363,183.0,Cop Lane Church Of England Primary School,mon
184,https://www.monkhouse.com/school/coppice-junior-school-urn-104041/,Coppice Junior School (URN-104041),104041,184.0,Coppice Junior School,mon
185,https://www.monkhouse.com/school/coppice-primary-school-urn-103390/,Coppice Primary School (URN-103390),103390,185.0,Coppice Primary School,mon
186,https://www.monkhouse.com/school/cornist-park-c-p-school-urn-400366/,Cornist Park C.P School (URN-400366),400366,186.0,Cornist Park C.P School,mon
187,https://www.monkhouse.com/school/cornwallis-academy-urn-135371/,Cornwallis Academy (URN-135371),135371,187.0,Cornwallis Academy,mon
188,https://www.monkhouse.com/school/cotham-school-urn-137440/,Cotham School (URN-137440),137440,188.0,Cotham School,mon
